Author ID,Author Name,Paper IDs
2220649,R. Ritchie,d1d67ea5197642811dda06a4e8b40d5085b02884 b257fac6b3b5dcf92cbae0901ffe7249d3dad884 cbd737ccb695e51721d4324c95501f75b10a7e8f
5872256,N. Reznikov,f824b94b7979736b9c96ae3a649ac84104c3b13d
2216378,R. Shahar,f824b94b7979736b9c96ae3a649ac84104c3b13d
144690216,S. Weiner,f824b94b7979736b9c96ae3a649ac84104c3b13d
1800753,A. Gerisch,f8c2eb6866be1ff28af8dafab5d88a20917d1471
4790551,D. Vashishth,3ea6b1eaf95453cfe05739d1b7641274c47479cb
29856683,I. Fleps,9d85868d7cb5286ad044a190775f5121d6af9c5b
29828432,H. Bahaloo,9d85868d7cb5286ad044a190775f5121d6af9c5b
1889946,H. Pálsson,9d85868d7cb5286ad044a190775f5121d6af9c5b
3095569,S. Eswaran,fc0be9421a9067280ae21b51e87b06e46e764917
2145004344,Atul Gupta,fc0be9421a9067280ae21b51e87b06e46e764917
2113471762,Mark F. Adams,fc0be9421a9067280ae21b51e87b06e46e764917
2011184,T. Keaveny,fc0be9421a9067280ae21b51e87b06e46e764917
7341763,E. Novitskaya,2487941be2c390f9b7980cd96c9d484b0da3972a
120126017,Po-Yu Chen,2487941be2c390f9b7980cd96c9d484b0da3972a
2256350185,Jun Li,2487941be2c390f9b7980cd96c9d484b0da3972a
4083052,V. Lubarda,2487941be2c390f9b7980cd96c9d484b0da3972a
143604978,J. McKittrick,2487941be2c390f9b7980cd96c9d484b0da3972a
48671711,B. Hoffmeister,c3f0084661b7d63c8ba7f067ec5c36d19be38bb4
2111645190,S. R. Smith,c3f0084661b7d63c8ba7f067ec5c36d19be38bb4
6674858,S. M. Handley,c3f0084661b7d63c8ba7f067ec5c36d19be38bb4
6506772,J. Rho,c3f0084661b7d63c8ba7f067ec5c36d19be38bb4
52626964,G. Unnikrisnan,a169125cebb03ba7d2bb7a6ffa25b4106fcdfc55
6794979,A. Hussein,a169125cebb03ba7d2bb7a6ffa25b4106fcdfc55
118335688,G. Osterhoff,603a7759914ea695af6fbf373340e4a2e5d1c049 970bb299cbba832214e24aa7daa78228e9a6a62a
2156676,S. Shefelbine,603a7759914ea695af6fbf373340e4a2e5d1c049 21977ff061970bb2ab914d9782bca8ca54004a0f
14038938,L. Karim,603a7759914ea695af6fbf373340e4a2e5d1c049
32080771,L. McNamara,603a7759914ea695af6fbf373340e4a2e5d1c049
6067848,P. Augat,603a7759914ea695af6fbf373340e4a2e5d1c049
8400126,Ghislain Maquer,12a6cd79f8d476fb2263c6f578330b2d1e9c4f9f 696a41c2afd4a66e17ea36fcb51460625b1888ba
12061707,S. Musy,12a6cd79f8d476fb2263c6f578330b2d1e9c4f9f
39310820,Jasmin Wandel,12a6cd79f8d476fb2263c6f578330b2d1e9c4f9f
6419590,A. Ascenzi,5e02ffbfb161adfa5cb0308e0f8dcbd22f7147fd 398a34459d7476628d7faeb9e4c97a05df01d31d 31d454835d9994d12818d7dbeb0f8191dd4b4f11 4a0c1960d75bc8a2b7a4d6cb166cf2ea263ceb65 1a22498b61024ad5c00d6b14e87822a7032e3b7a
4877058,P. Baschieri,5e02ffbfb161adfa5cb0308e0f8dcbd22f7147fd 398a34459d7476628d7faeb9e4c97a05df01d31d
48431628,A. Benvenuti,5e02ffbfb161adfa5cb0308e0f8dcbd22f7147fd 398a34459d7476628d7faeb9e4c97a05df01d31d
5774824,E. Bonucci,31d454835d9994d12818d7dbeb0f8191dd4b4f11 4a0c1960d75bc8a2b7a4d6cb166cf2ea263ceb65 1a22498b61024ad5c00d6b14e87822a7032e3b7a
1918464,F. Repp,bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
5590242,A. Roschger,bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
5499420,A. Berzlanovich,bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
145519262,G. Gruber,bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
4264036,P. Roschger,bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
72418189,Y. Obata,e5a837916c574d61a7f650e27e721426522aa055
2904343,H. Bale,e5a837916c574d61a7f650e27e721426522aa055
32401743,H. Barnard,e5a837916c574d61a7f650e27e721426522aa055
49580259,D. Parkinson,e5a837916c574d61a7f650e27e721426522aa055
5739524,T. Alliston,e5a837916c574d61a7f650e27e721426522aa055
40620359,Claire Acevedo,e5a837916c574d61a7f650e27e721426522aa055
24636316,Boliang Yu,4d9cc66be1dbd03a9569e1f3148458caddd2fdd0
40072514,R. Gauthier,4d9cc66be1dbd03a9569e1f3148458caddd2fdd0
5087347,C. Olivier,4d9cc66be1dbd03a9569e1f3148458caddd2fdd0 e58af76db93c4d6bec95867ae5b7ee77fbc6afc1
2243435292,Julie Villanova,4d9cc66be1dbd03a9569e1f3148458caddd2fdd0
2219956,H. Follet,4d9cc66be1dbd03a9569e1f3148458caddd2fdd0
2272878769,David Mitton,4d9cc66be1dbd03a9569e1f3148458caddd2fdd0
2243015479,Françoise Peyrin,4d9cc66be1dbd03a9569e1f3148458caddd2fdd0
2970248,S. Warden,e8a5a8ebbf670e5794246d8d30ffd0457711ffdd
26542460,Christian S Wright,e8a5a8ebbf670e5794246d8d30ffd0457711ffdd
2803490,R. Fuchs,e8a5a8ebbf670e5794246d8d30ffd0457711ffdd
51263476,Danielle E. Whittier,2d847c882dcab4d4938612e6820ad3bb4dd553df
2256659907,STEVEN K. Boyd,2d847c882dcab4d4938612e6820ad3bb4dd553df
145577947,A. Burghardt,2d847c882dcab4d4938612e6820ad3bb4dd553df
2241084609,Julien Paccou,2d847c882dcab4d4938612e6820ad3bb4dd553df
1397689454,A. Ghasem-Zadeh,2d847c882dcab4d4938612e6820ad3bb4dd553df
2241989388,Roland Chapurlat,2d847c882dcab4d4938612e6820ad3bb4dd553df
2253970891,K. Engelke,2d847c882dcab4d4938612e6820ad3bb4dd553df
6272001,M. Bouxsein,2d847c882dcab4d4938612e6820ad3bb4dd553df
31310444,M. Balda,b8f3db259c8ac35c8cb1c8fcac7379ae96f36399
2122136364,Alice Dudle,7a5e5f6c6364cbd54000d5bcb7277b986722541e
101304059,Yvan Gugler,7a5e5f6c6364cbd54000d5bcb7277b986722541e
19174064,Osman Berk Satir,7a5e5f6c6364cbd54000d5bcb7277b986722541e
151049354,J. Gewiess,7a5e5f6c6364cbd54000d5bcb7277b986722541e
2244108909,Stefan Klein,7a5e5f6c6364cbd54000d5bcb7277b986722541e
2237707092,Philippe Zysset,7a5e5f6c6364cbd54000d5bcb7277b986722541e
2109245865,J. Adams,687a842a8ce11a3a12001c987558d5ee2be0dae1
1994754208,Katherine A Williams,80708f2ab7eeaf1bea99e6c56259a4e6681b1772
4301199,N. J. Gostling,80708f2ab7eeaf1bea99e6c56259a4e6681b1772
31408081,J. Steer,80708f2ab7eeaf1bea99e6c56259a4e6681b1772
6954971,R. Oreffo,80708f2ab7eeaf1bea99e6c56259a4e6681b1772
144941565,P. Schneider,80708f2ab7eeaf1bea99e6c56259a4e6681b1772
2052289872,Pei Dong,f0d720cf7eeaaa7feec9c83f99d26523d03d3aad
3130423,S. Haupert,f0d720cf7eeaaa7feec9c83f99d26523d03d3aad
1909222,B. Hesse,f0d720cf7eeaaa7feec9c83f99d26523d03d3aad 71f86f63df608c46d26654dc8f55e471f2dcaf41 79620ccf1992319f61e12c0264a0a6de19775cce
144372724,M. Langer,f0d720cf7eeaaa7feec9c83f99d26523d03d3aad 71f86f63df608c46d26654dc8f55e471f2dcaf41 79620ccf1992319f61e12c0264a0a6de19775cce
50608301,P. Gouttenoire,f0d720cf7eeaaa7feec9c83f99d26523d03d3aad e58af76db93c4d6bec95867ae5b7ee77fbc6afc1
2827371,V. Bousson,f0d720cf7eeaaa7feec9c83f99d26523d03d3aad
2664608,F. Peyrin,f0d720cf7eeaaa7feec9c83f99d26523d03d3aad 71f86f63df608c46d26654dc8f55e471f2dcaf41 79620ccf1992319f61e12c0264a0a6de19775cce e58af76db93c4d6bec95867ae5b7ee77fbc6afc1
48370955,A. Pacureanu,71f86f63df608c46d26654dc8f55e471f2dcaf41 79620ccf1992319f61e12c0264a0a6de19775cce
5749867,H. Suhonen,71f86f63df608c46d26654dc8f55e471f2dcaf41 79620ccf1992319f61e12c0264a0a6de19775cce
1953338,P. Cloetens,71f86f63df608c46d26654dc8f55e471f2dcaf41
7572514,Fang Wang,970bb299cbba832214e24aa7daa78228e9a6a62a
1387515373,Leyu Zheng,970bb299cbba832214e24aa7daa78228e9a6a62a
6840266,J. Theopold,970bb299cbba832214e24aa7daa78228e9a6a62a
49534611,S. Schleifenbaum,970bb299cbba832214e24aa7daa78228e9a6a62a
35857626,C. Heyde,970bb299cbba832214e24aa7daa78228e9a6a62a
6376928,H. Kamioka,56e998024ebefa8d45aa62783b369936fb4912f5
5969063,Yoshitaka Kameo,56e998024ebefa8d45aa62783b369936fb4912f5
2061598592,Y. Imai,56e998024ebefa8d45aa62783b369936fb4912f5
145868912,A. Bakker,56e998024ebefa8d45aa62783b369936fb4912f5
5976100,R. Bacabac,56e998024ebefa8d45aa62783b369936fb4912f5
2066331911,N. Yamada,56e998024ebefa8d45aa62783b369936fb4912f5
4441724,A. Takaoka,56e998024ebefa8d45aa62783b369936fb4912f5
46402577,T. Yamashiro,56e998024ebefa8d45aa62783b369936fb4912f5
145556453,T. Adachi,56e998024ebefa8d45aa62783b369936fb4912f5
1387465025,J. Klein-Nulend,56e998024ebefa8d45aa62783b369936fb4912f5
6321849,N. Männicke,79620ccf1992319f61e12c0264a0a6de19775cce
120312957,A. C. L. Augusto,4285af533cb28d117f0c49020949c0ece4f0798c
147796028,Paola Kuenzer Goes,4285af533cb28d117f0c49020949c0ece4f0798c
121286048,D. Flores,4285af533cb28d117f0c49020949c0ece4f0798c
2111023447,Maria Alice F Costa,4285af533cb28d117f0c49020949c0ece4f0798c
2152994802,M. Takahashi,4285af533cb28d117f0c49020949c0ece4f0798c
2156454154,André C O Rodrigues,4285af533cb28d117f0c49020949c0ece4f0798c
